s,M,99,99, , , 
s,M,99,99,4,2,4
s,M,99,99, , , 
s,M,99,99,4,2,4
s,M,99,99, , , 
s,M,99,99,4,2,4
s,M,99,99, , , 
s,M,99,99,4,2,4
s,M,99,99, , , 
s,M,99,99,4,2,4
s,M,99,99, , , 
s,M,99,99,4,2,4
s,M,99,99, , , 
a,M,99,99,4,2,4
a,M,99,99, , , 
a,M,99,99,4,2,4
a,M,99,99, , , 
a,M,99,99,4,2,4
a,M,99,99, , , 
a,2,2 ,2 ,4,1,2
a,M,99,99, , , 
a,M,99,99,4,1,2
a,M,99,99, , , 
a,M,99,99,4,1,2
a,M,99,99, , , 
a,M,99,99,4,1,2
a,M,99,99, , , 
a,M,99,99,4,1,2
a,M,99,99, , , 
a,M,99,99,4,1,2
a,M,99,99, , , 
a,M,99,99,4,1,2
a,M,99,99, , , 
w,M,99,99,4,1,2
w,M,99,99, , , 
a,M,99,99,4,1,2
a,M,99,99, , , 
a,M,99,99,4,1,2
a,M,99,99, , , 
a, ,99,99,2,3,1
a,M,99,99, , , 
a,M,99,99,2,3,1
a,M,99,99, , , 
a,M,99,99,2,3,1
w,M,99,99, , , 
w,M,99,99,2,3,1
w,M,99,99, , , 
w,M,99,99,2,3,1
w,M,99,99, , , 
w,M,99,99,2,3,1
a,M,99,99, , , 
w,w,M,99,99, , , 
w,M,99,99,2,3,1
w,M,99,99, , , 
w,M,99,99,2,3,1
w,M,99,99, , , 
w,M,99,99,2,3,1
d,M,99,99, , , 
d,1,2 ,2 ,4,2,3
d, ,2 ,2 , , , 
d, ,2 ,2 ,4,2,3
d, ,2 ,2 , , , 
d,4,2 ,2 ,4,2,3
a, ,2 ,2 , , , 
a, ,2 ,2 ,4,2,3
a, ,2 ,2 , , , 
a,1,2 ,2 ,4,2,3
w, ,2 ,2 , , , 
w, ,2 ,2 ,4,2,3
w, ,2 ,2 , , , 
a,4,2 ,2 ,4,2,3
a, ,2 ,2 , , , 
a, ,2 ,2 ,4,2,3
a, ,2 ,2 , , , 
a,4,2 ,2 ,4,2,3
a, ,2 ,2 , , , 
a, ,2 ,2 ,4,2,3
a, ,2 ,2 , , , 
a, ,99,99,1,1,1
a,M,99,99, , , 
a,M,99,99,1,1,1
a,M,99,99, , , 
a,M,99,99,1,1,1
x,M,99,99, , , 
a,M,99,99,1,1,1
a,M,99,99, , , 
a,M,99,99,1,1,1
a,M,99,99, , , 
a,M,99,99,1,1,1
a,M,99,99, , , 
a,M,99,99,1,1,1
d,M,99,99, , , 
d,M,99,99,1,1,1
d,M,99,99, , , 
d,M,99,99,1,1,1
a,M,99,99, , , 
a,M,99,99,1,1,1
a,M,99,99, , , 
a,1,2 ,3 ,1,1,4
a,M,99,99, , , 
a,M,99,99,1,1,4
a,M,99,99, , , 
a,M,99,99,1,1,4
x,M,99,99, , , 
x,M,99,99,1,1,4
x,M,99,99, , , 
x,M,99,99,1,1,4
x,M,99,99, , , 
x,M,99,99,1,1,4
x,M,99,99, , , 
x,M,99,99,1,1,4
d,M,99,99, , , 
d,M,99,99,1,1,4
d,M,99,99, , , 
d,M,99,99,1,1,4
d,M,99,99, , , 
d,M,99,99,1,1,4
d,M,99,99, , , 
d, ,99,99,1,3,2
w,M,99,99, , , 
d,M,99,99,1,3,2
d,M,99,99, , , 
d,M,99,99,1,3,2
d,M,99,99, , , 
d,M,99,99,1,3,2
d,M,99,99, , , 
d,M,99,99,1,3,2
d,M,99,99, , , 
d,M,99,99,1,3,2
d,M,99,99, , , 
d,M,99,99,1,3,2
d,M,99,99, , , 
d,M,99,99,1,3,2
d,M,99,99, , , 
d,M,99,99,1,3,2
d,M,99,99, , , 
d,M,99,99,1,3,2
d,M,99,99, , , 
d,1,2 ,2 ,3,4,2
w, ,2 ,2 , , , 
w, ,2 ,2 ,3,4,2
w, ,2 ,2 , , , 
w,1,2 ,2 ,3,4,2
w, ,2 ,2 , , , 
d, ,2 ,2 ,3,4,2
d, ,2 ,2 , , , 
d,1,2 ,2 ,3,4,2
d, ,2 ,2 , , , 
w, ,2 ,2 ,3,4,2
w, ,2 ,2 , , , 
w,2,2 ,2 ,3,4,2
a, ,2 ,2 , , , 
a, ,2 ,2 ,3,4,2
a, ,2 ,2 , , , 
s,3,2 ,2 ,3,4,2
d,M,99,99, , , 
d,M,99,99,3,4,2
